Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
AO-07        11/9/2024 6:07:14 PM    6:29:38 PM     00:22:24   258.3°    43.1°
ISS          11/9/2024 7:16:17 PM    7:27:11 PM     00:10:54   129.0°    35.6°
XW-2B        11/9/2024 7:34:38 PM    7:43:15 PM     00:08:37    75.7°    57.4°
RS-44        11/9/2024 9:40:41 PM   10:01:38 PM     00:20:57    91.8°    77.5°
AO-73       11/10/2024 3:15:07 AM    3:28:17 AM     00:13:10   100.1°    54.5°
AO-07       11/10/2024 6:15:06 AM    6:38:05 AM     00:22:59   296.7°    88.6°
CAS-4A      11/10/2024 7:40:18 AM    7:52:05 AM     00:11:47   329.8°    43.6°
IO-117      11/10/2024 7:43:26 AM    9:03:34 AM     01:20:08   294.7°    67.0°
XW-2B       11/10/2024 8:06:20 AM    8:14:51 AM     00:08:31   100.2°    47.6°
RS-44       11/10/2024 9:32:40 AM    9:54:38 AM     00:21:58   266.0°    65.9°
CAS-4A      11/10/2024 2:15:53 PM    2:27:44 PM     00:11:51   216.7°    56.5°
IO-117      11/10/2024 4:17:49 PM    5:38:01 PM     01:20:12    66.7°    70.1°
AO-07       11/10/2024 5:06:54 PM    5:29:59 PM     00:23:05    73.2°    77.5°
XW-2B       11/10/2024 7:37:38 PM    7:46:11 PM     00:08:33    75.7°    67.0°
RS-44      11/10/2024 10:04:29 PM   10:25:20 PM     00:20:51   278.5°    63.4°
AO-73       11/11/2024 3:19:17 AM    3:32:31 AM     00:13:14   102.0°    62.4°
AO-07       11/11/2024 5:15:36 AM    5:37:25 AM     00:21:49   101.2°    36.3°
IO-117      11/11/2024 6:04:38 AM    7:22:57 AM     01:18:19   100.3°    74.6°
CAS-4A      11/11/2024 7:01:42 AM    7:13:33 AM     00:11:51   330.1°    55.5°
AO-07       11/11/2024 7:08:14 AM    7:30:02 AM     00:21:48   294.3°    40.7°
RS-44       11/11/2024 8:03:27 AM    8:24:12 AM     00:20:45    78.6°    31.7°
XW-2B       11/11/2024 8:08:33 AM    8:17:01 AM     00:08:28   100.9°    52.5°
RS-44       11/11/2024 9:56:40 AM   10:17:45 AM     00:21:05   270.3°    39.2°
CAS-4A      11/11/2024 1:37:17 PM    1:49:12 PM     00:11:55   210.5°    75.5°
IO-117      11/11/2024 2:35:27 PM    3:54:07 PM     01:18:40    51.0°    39.9°
AO-07       11/11/2024 5:59:59 PM    6:22:38 PM     00:22:39   256.7°    48.5°
IO-117      11/11/2024 6:34:35 PM    7:49:35 PM     01:15:00   264.8°    53.0°
ISS         11/11/2024 7:12:44 PM    7:23:55 PM     00:11:11   317.3°    58.0°
